Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T113326.708837,0,0,0,0,
20160816T113327.708837,0,0,0,0,
20160816T113328.708837,0,0,0,0,
20160816T113329.708837,0,0,0,0,
20160816T113330.708837,0,0,0,0,
20160816T113331.708837,0,0,0,0,
20160816T113332.708837,0,0,0,0,
20160816T113333.708837,0,0,0,0,
20160816T113334.708837,0,0,0,0,
20160816T113335.708837,0,0,0,0,
20160816T113336.708837,0,0,0,0,
20160816T113337.708837,0,0,0,0,
20160816T113338.708837,0,0,0,0,
20160816T113339.708837,0,0,0,0,
20160816T113340.708837,0,0,0,0,
