Time,Peregrine_Lock,Sensor_Temp_A,Sensor_Temp_B,Sensor_Temp_Duty_Cycle,Laser_Temp_A,Laser_Temp_B,Laser_Temp_Duty_Cycle,Laser_Current,Laser_Current_Zero_Cross,Microwave_Ref,Microwave_Ref_Zero_Cross,Zeeman_Freq_Zero_Cross,PCB_Temp_A,PCB_Temp_B,Laser_Diode_Voltage,Diode_Optical_Power,P2V4,P3V3,P8V,N8V,P12V,PCB_Temp_C,PCB_Temp_D,PCB_Temp_E,ICU_Checksum,ICU_Command_Count,ICU_Sync_Count
20160816T113326.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113327.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113328.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113329.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113330.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113331.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113332.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113333.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113334.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113335.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113336.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113337.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113338.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T113339.708837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
