Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
2016-08-22T13:02:25.314726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:02:26.314726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:02:27.314726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:02:28.314726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:02:29.314726,224,224,224,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,224,224,224,224,224,224,224,
2016-08-22T13:02:30.314726,96,96,96,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,96,96,96,96,96,96,96,
2016-08-22T13:02:31.314726,224,224,224,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,224,224,224,224,224,224,224,
2016-08-22T13:02:32.314726,96,96,96,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,96,96,96,96,96,96,96,
2016-08-22T13:02:33.314726,224,224,224,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,224,224,224,224,224,224,224,
2016-08-22T13:02:34.314726,96,96,96,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,96,96,96,96,96,96,96,
2016-08-22T13:02:35.314726,224,224,224,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,224,224,224,224,224,224,224,
2016-08-22T13:02:36.314726,96,96,96,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,24672,96,96,96,96,96,96,96,
2016-08-22T13:02:37.314726,224,224,224,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,57568,224,224,224,224,224,224,224,
