Time,Bx,By,Bz
20160816T171432.017145,131072,512,256,
20160816T171432.149957,1245184,4864,256,
20160816T171432.282769,2359296,9216,256,
20160816T171432.415582,3473408,13568,256,
20160816T171432.548395,4587520,17920,256,
20160816T171432.681207,5701632,22272,256,
20160816T171432.814019,6815744,26624,256,
20160816T171432.946832,7929856,30976,256,
20160816T171433.079645,-7733248,35328,256,
20160816T171433.212457,-6619136,39680,256,
20170507T044040.626519,65536,396032,430,
20170612T175504.814019,65536,402176,454,
20170719T070929.001519,65536,408320,478,
20170824T202353.189019,65536,414464,502,
20160905T122439.376519,65536,420608,270,
20161001T094721.509332,65536,424960,287,
20161027T071003.642145,65536,429312,304,
20161122T043245.774957,65536,433664,321,
20161218T015527.907769,65536,438016,338,
20170112T231810.040582,65536,442368,355,
20170207T204052.173395,65536,446720,372,
20170305T180334.306207,65536,451072,389,
20170331T152616.439019,65536,455424,406,
20170426T124858.571832,65536,459776,423,
20170522T101140.704645,65536,464128,440,
20170617T073422.837457,65536,468480,457,
20170713T045704.970269,65536,472832,474,
20170808T021947.103082,65536,477184,491,
20170902T234229.235895,65536,481536,508,
20160903T235133.368707,65536,485888,269,
20160929T211415.501519,65536,490240,286,
20161025T183657.634332,65536,494592,303,
20161120T155939.767145,65536,498944,320,
20161216T132221.899957,65536,503296,337,
20170111T104504.032769,65536,507648,354,
20170206T080746.165582,65536,512000,371,
20170304T053028.298395,65536,516352,388,
20170330T025310.431207,65536,520704,405,
20170508T171346.634332,65536,527360,431,
20170603T143628.767145,65536,531712,448,
20170629T115910.899957,65536,536064,465,
20170725T092153.032769,65536,540416,482,
20170820T064435.165582,65536,544768,499,
20160821T065339.298395,65536,549120,260,
20160916T041621.431207,65536,553472,277,
20161025T183657.634332,65536,560128,303,
20161120T155939.767145,65536,564480,320,
20161216T132221.899957,65536,568832,337,
20170111T104504.032769,65536,573184,354,
20170206T080746.165582,65536,577536,371,
20170304T053028.298395,65536,581888,388,
20170330T025310.431207,65536,586240,405,
20170508T171346.634332,65536,592896,431,
20170603T143628.767145,65536,597248,448,
20170629T115910.899957,65536,601600,465,
20170725T092153.032769,65536,605952,482,
20170820T064435.165582,65536,610304,499,
20160821T065339.298395,65536,614656,260,
20160916T041621.431207,65536,619008,277,
20161025T183657.634332,65536,625664,303,
20161120T155939.767145,65536,630016,320,
20161216T132221.899957,65536,634368,337,
20170111T104504.032769,65536,638720,354,
20170206T080746.165582,65536,643072,371,
20170304T053028.298395,65536,647424,388,
20170330T025310.431207,65536,651776,405,
20170508T171346.634332,65536,658432,431,
20170603T143628.767145,65536,662784,448,
20170629T115910.899957,65536,667136,465,
20170725T092153.032769,65536,671488,482,
20170820T064435.165582,65536,675840,499,
20160821T065339.298395,65536,680192,260,
20160916T041621.431207,65536,684544,277,
20161025T183657.634332,65536,691200,303,
20161120T155939.767145,65536,695552,320,
20161216T132221.899957,65536,699904,337,
20170111T104504.032769,65536,704256,354,
20170206T080746.165582,65536,708608,371,
20170304T053028.298395,65536,712960,388,
20170330T025310.431207,65536,717312,405,
20170508T171346.634332,65536,723968,431,
20170603T143628.767145,65536,728320,448,
20170629T115910.899957,65536,732672,465,
20170725T092153.032769,65536,737024,482,
20170820T064435.165582,65536,741376,499,
20160821T065339.298395,65536,745728,260,
20160916T041621.431207,65536,750080,277,
20161025T183657.634332,65536,756736,303,
20161120T155939.767145,65536,761088,320,
20161216T132221.899957,65536,765440,337,
20170111T104504.032769,65536,769792,354,
20170206T080746.165582,65536,774144,371,
20170304T053028.298395,65536,778496,388,
20170330T025310.431207,65536,782848,405,
20170508T171346.634332,65536,789504,431,
20170603T143628.767145,65536,793856,448,
20170629T115910.899957,65536,798208,465,
20170725T092153.032769,65536,802560,482,
20170820T064435.165582,65536,806912,499,
20160821T065339.298395,65536,811264,260,
20160916T041621.431207,65536,815616,277,
20161025T183657.634332,65536,822272,303,
20161120T155939.767145,65536,826624,320,
20161216T132221.899957,65536,830976,337,
20170111T104504.032769,65536,835328,354,
20170206T080746.165582,65536,839680,371,
20170304T053028.298395,65536,844032,388,
20170330T025310.431207,65536,848384,405,
20170425T001552.564019,65536,852736,422,
20170520T213834.696832,65536,857088,439,
20170615T190116.829645,65536,861440,456,
20170711T162358.962457,65536,865792,473,
20170806T134641.095269,65536,870144,490,
20170901T110923.228082,65536,874496,507,
20160902T111827.360895,65536,878848,268,
20160928T084109.493707,65536,883200,285,
20161024T060351.626519,65536,887552,302,
20161119T032633.759332,65536,891904,319,
20161215T004915.892145,65536,896256,336,
20170109T221158.024957,65536,900608,353,
20170204T193440.157769,65536,904960,370,
20170302T165722.290582,65536,909312,387,
20170328T142004.423395,65536,913664,404,
20170507T044040.626519,65536,920320,430,
20170602T020322.759332,65536,924672,447,
20170627T232604.892145,65536,929024,464,
20170723T204847.024957,65536,933376,481,
20170818T181129.157769,65536,937728,498,
20160819T182033.290582,65536,942080,259,
20160914T154315.423395,65536,946432,276,
20161024T060351.626519,65536,953088,302,
20161119T032633.759332,65536,957440,319,
