Time,Bx,By,Bz
20160816T231108.996059,192769,0,224
20160816T231109.097621,196097,0,224
20160816T231110.511684,242433,0,3
20160816T231110.769497,250880,1,3
20160816T231112.558559,309505,0,3
20160816T231114.519497,373761,0,3
20160816T231114.691371,379392,1,5
20160816T231118.160121,493057,0,192
20160816T231119.238247,528384,1,8
20160816T231120.402309,566529,0,3
20160816T231121.386684,598785,0,3
20160816T231124.128871,688641,0,1
20160816T231126.871059,778497,0,224
20160816T231128.792934,841473,0,192
20160816T231132.355434,958209,0,192
20160816T231133.956997,1010689,0,1
20160816T231135.253871,1053185,0,1
20160816T231136.058559,1079553,0,1
20160816T231136.230434,1085184,1,16
20160816T231136.878871,1106433,0,224
20160816T231138.011684,1143552,1,17
20160816T231138.660121,1164801,0,192
20160816T231140.636684,1229569,0,192
20160816T231140.878871,1237505,0,192
20160816T231141.714809,1264896,1,19
20160816T231143.644497,1328129,0,1
20160816T231145.902309,1402113,0,224
20160816T231146.402309,1418497,0,192
