Time,Bx,By,Bz,status
2016-08-22T16:11:06.235687,1065339,1065339,1065339,0,
2016-08-22T16:11:06.243499,1065340,1065340,1065340,0,
2016-08-22T16:11:06.251311,1065341,1065341,1065341,0,
2016-08-22T16:11:06.259124,1065342,1065342,1065342,0,
2016-08-22T16:11:06.266937,1065343,1065343,1065343,0,
2016-08-22T16:11:06.274749,1065344,1065344,1065344,0,
2016-08-22T16:11:06.282561,1065345,1065345,1065345,0,
2016-08-22T16:11:06.290374,1065346,1065346,1065346,0,
2016-08-22T16:11:06.298187,1065347,1065347,1065347,0,
2016-08-22T16:11:06.305999,1065348,1065348,1065348,0,
2016-08-22T16:11:06.313811,1065349,1065349,1065349,0,
2016-08-22T16:11:06.321624,1065350,1065350,1065350,0,
2016-08-22T16:11:06.329437,1065351,1065351,1065351,0,
2016-08-22T16:11:06.337249,1065352,1065352,1065352,0,
2016-08-22T16:11:06.345061,1065353,1065353,1065353,0,
2016-08-22T16:11:06.352874,1065354,1065354,1065354,0,
2016-08-22T16:11:06.360687,1065355,1065355,1065355,0,
2016-08-22T16:11:06.368499,1065356,1065356,1065356,0,
2016-08-22T16:11:06.376311,1065357,1065357,1065357,0,
2016-08-22T16:11:06.384124,1065358,1065358,1065358,0,
2016-08-22T16:11:06.391937,1065359,1065359,1065359,0,
2016-08-22T16:11:06.399749,1065360,1065360,1065360,0,
2016-08-22T16:11:06.407561,1065361,1065361,1065361,0,
2016-08-22T16:11:06.415374,1065362,1065362,1065362,0,
2016-08-22T16:11:06.423187,1065363,1065363,1065363,0,
2016-08-22T16:11:06.430999,1065364,1065364,1065364,0,
2016-08-22T16:11:06.438811,1065365,1065365,1065365,0,
2016-08-22T16:11:06.446624,1065366,1065366,1065366,0,
2016-08-22T16:11:06.454437,1065367,1065367,1065367,0,
2016-08-22T16:11:06.462249,1065368,1065368,1065368,0,
2016-08-22T16:11:06.470061,1065369,1065369,1065369,0,
2016-08-22T16:11:06.477874,1065370,1065370,1065370,0,
2016-08-22T16:11:06.485687,1065371,1065371,1065371,0,
2016-08-22T16:11:06.493499,1065372,1065372,1065372,0,
2016-08-22T16:11:06.501311,1065373,1065373,1065373,0,
2016-08-22T16:11:06.509124,1065374,1065374,1065374,0,
2016-08-22T16:11:06.516937,1065375,1065375,1065375,0,
2016-08-22T16:11:06.524749,1065376,1065376,1065376,0,
2016-08-22T16:11:06.532561,1065377,1065377,1065377,0,
2016-08-22T16:11:06.540374,1065378,1065378,1065378,0,
2016-08-22T16:11:06.548187,1065379,1065379,1065379,0,
2016-08-22T16:11:06.555999,1065380,1065380,1065380,0,
2016-08-22T16:11:06.563811,1065381,1065381,1065381,0,
2016-08-22T16:11:06.571624,1065382,1065382,1065382,0,
2016-08-22T16:11:06.579437,1065383,1065383,1065383,0,
2016-08-22T16:11:06.587249,1065384,1065384,1065384,0,
2016-08-22T16:11:06.595061,1065385,1065385,1065385,0,
2016-08-22T16:11:06.602874,1065386,1065386,1065386,0,
2016-08-22T16:11:06.610687,1065387,1065387,1065387,0,
2016-08-22T16:11:06.618499,1065388,1065388,1065388,0,
2016-08-22T16:11:06.626311,1065389,1065389,1065389,0,
2016-08-22T16:11:06.634124,1065390,1065390,1065390,0,
2016-08-22T16:11:06.641937,1065391,1065391,1065391,0,
2016-08-22T16:11:06.649749,1065392,1065392,1065392,0,
2016-08-22T16:11:06.657561,1065393,1065393,1065393,0,
2016-08-22T16:11:06.665374,1065394,1065394,1065394,0,
2016-08-22T16:11:06.673187,1065395,1065395,1065395,0,
2016-08-22T16:11:06.680999,1065396,1065396,1065396,0,
2016-08-22T16:11:06.688811,1065397,1065397,1065397,0,
2016-08-22T16:11:06.696624,1065398,1065398,1065398,0,
2016-08-22T16:11:06.704437,1065399,1065399,1065399,0,
2016-08-22T16:11:06.712249,1065400,1065400,1065400,0,
2016-08-22T16:11:06.720061,1065401,1065401,1065401,0,
2016-08-22T16:11:06.727874,1065402,1065402,1065402,0,
2016-08-22T16:11:06.735687,1065403,1065403,1065403,0,
2016-08-22T16:11:06.743499,1065404,1065404,1065404,0,
2016-08-22T16:11:06.751311,1065405,1065405,1065405,0,
2016-08-22T16:11:06.759124,1065406,1065406,1065406,0,
2016-08-22T16:11:06.766937,1065407,1065407,1065407,0,
2016-08-22T16:11:06.774749,1065408,1065408,1065408,0,
2016-08-22T16:11:06.782561,1065409,1065409,1065409,0,
2016-08-22T16:11:06.790374,1065410,1065410,1065410,0,
2016-08-22T16:11:06.798187,1065411,1065411,1065411,0,
2016-08-22T16:11:06.805999,1065412,1065412,1065412,0,
2016-08-22T16:11:06.813811,1065413,1065413,1065413,0,
2016-08-22T16:11:06.821624,1065414,1065414,1065414,0,
2016-08-22T16:11:06.829437,1065415,1065415,1065415,0,
2016-08-22T16:11:06.837249,1065416,1065416,1065416,0,
2016-08-22T16:11:06.845061,1065417,1065417,1065417,0,
2016-08-22T16:11:06.852874,1065418,1065418,1065418,0,
2016-08-22T16:11:06.860687,1065419,1065419,1065419,0,
2016-08-22T16:11:06.868499,1065420,1065420,1065420,0,
2016-08-22T16:11:06.876311,1065421,1065421,1065421,0,
2016-08-22T16:11:06.884124,1065422,1065422,1065422,0,
2016-08-22T16:11:06.891937,1065423,1065423,1065423,0,
2016-08-22T16:11:06.899749,1065424,1065424,1065424,0,
2016-08-22T16:11:06.907561,1065425,1065425,1065425,0,
