time,status,x,y,z
20160811T17:20:29.304296,1,1740518,1740518,1740518
20160811T17:20:29.312108,1,1740519,1740519,1740519
20160811T17:20:29.319920,1,1740520,1740520,1740520
20160811T17:20:29.327733,1,1740521,1740521,1740521
20160811T17:20:29.335546,1,1740522,1740522,1740522
20160811T17:20:29.343358,1,1740523,1740523,1740523
20160811T17:20:29.351170,1,1740524,1740524,1740524
20160811T17:20:29.358983,1,1740525,1740525,1740525
20160811T17:20:29.366796,1,1740526,1740526,1740526
20160811T17:20:29.374608,1,1740527,1740527,1740527
20160811T17:20:29.382420,1,1740528,1740528,1740528
20160811T17:20:29.390233,1,1740529,1740529,1740529
20160811T17:20:29.398046,1,1740530,1740530,1740530
20160811T17:20:29.405858,1,1740531,1740531,1740531
20160811T17:20:29.413670,1,1740532,1740532,1740532
20160811T17:20:29.421483,1,1740533,1740533,1740533
20160811T17:20:29.429296,1,1740534,1740534,1740534
20160811T17:20:29.437108,1,1740535,1740535,1740535
20160811T17:20:29.444920,1,1740536,1740536,1740536
20160811T17:20:29.452733,1,1740537,1740537,1740537
20160811T17:20:29.460546,1,1740538,1740538,1740538
20160811T17:20:29.468358,1,1740539,1740539,1740539
20160811T17:20:29.476170,1,1740540,1740540,1740540
20160811T17:20:29.483983,1,1740541,1740541,1740541
20160811T17:20:29.491796,1,1740542,1740542,1740542
20160811T17:20:29.499608,1,1740543,1740543,1740543
20160811T17:20:29.507420,1,1740544,1740544,1740544
20160811T17:20:29.515233,1,1740545,1740545,1740545
20160811T17:20:29.523046,1,1740546,1740546,1740546
20160811T17:20:29.530858,1,1740547,1740547,1740547
20160811T17:20:29.538670,1,1740548,1740548,1740548
20160811T17:20:29.546483,1,1740549,1740549,1740549
20160811T17:20:29.554296,1,1740550,1740550,1740550
20160811T17:20:29.562108,1,1740551,1740551,1740551
20160811T17:20:29.569920,1,1740552,1740552,1740552
20160811T17:20:29.577733,1,1740553,1740553,1740553
20160811T17:20:29.585546,1,1740554,1740554,1740554
20160811T17:20:29.593358,1,1740555,1740555,1740555
20160811T17:20:29.601170,1,1740556,1740556,1740556
20160811T17:20:29.608983,1,1740557,1740557,1740557
20160811T17:20:29.616796,1,1740558,1740558,1740558
20160811T17:20:29.624608,1,1740559,1740559,1740559
20160811T17:20:29.632420,1,1740560,1740560,1740560
20160811T17:20:29.640233,1,1740561,1740561,1740561
20160811T17:20:29.648046,1,1740562,1740562,1740562
20160811T17:20:29.655858,1,1740563,1740563,1740563
20160811T17:20:29.663670,1,1740564,1740564,1740564
20160811T17:20:29.671483,1,1740565,1740565,1740565
20160811T17:20:29.679296,1,1740566,1740566,1740566
20160811T17:20:29.687108,1,1740567,1740567,1740567
