Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T145610.021459,0,0,0,0,
20160816T145611.021459,0,0,0,0,
20160816T145612.021459,0,0,0,0,
20160816T145613.021459,0,0,0,0,
20160816T145614.021459,0,0,0,0,
20160816T145615.021459,0,0,0,0,
20160816T145616.021459,0,0,0,0,
20160816T145617.021459,0,0,0,0,
20160816T145618.021459,0,0,0,0,
20160816T145619.021459,0,0,0,0,
20160816T145620.021459,0,0,0,0,
20160816T145621.021459,0,0,0,0,
20160816T145622.021459,0,0,0,0,
20160816T145623.021459,0,0,0,0,
20160816T145624.021459,0,0,0,0,
20160816T145625.021459,0,0,0,0,
20160816T145626.021459,0,0,0,0,
20160816T145627.021459,0,0,0,0,
20160816T145628.021459,0,0,0,0,
20160816T145629.021459,0,0,0,0,
20160816T145630.021459,0,0,0,0,
20160816T145631.021459,0,0,0,0,
