Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T225934.867034,0,0,0,0
20160816T225935.867034,0,0,0,0
20160816T225936.867034,0,0,0,0
20160816T225937.867034,0,0,0,0
20160816T225938.867034,0,0,0,0
20160816T225939.867034,0,0,0,0
20160816T225940.867034,0,0,0,0
20160816T225941.867034,0,0,0,0
20160816T225942.867034,0,0,0,0
20160816T225943.867034,0,0,0,0
20160816T225944.867034,0,0,0,0
20160816T225945.867034,0,0,0,0
20160816T225946.867034,0,0,0,0
20160816T225947.867034,0,0,0,0
20160816T225948.867034,0,0,0,0
20160816T225949.867034,0,0,0,0
20160816T225950.867034,0,0,0,0
20160816T225951.867034,0,0,0,0
20160816T225952.867034,0,0,0,0
20160816T225953.867034,0,0,0,0
20160816T225954.867034,0,0,0,0
20160816T225955.867034,0,0,0,0
20160816T225956.867034,0,0,0,0
20160816T225957.867034,0,0,0,0
20160816T225958.867034,0,0,0,0
20160816T225959.867034,0,0,0,0
20160816T230000.867034,0,0,0,0
20160816T230001.867034,0,0,0,0
20160816T230002.867034,0,0,0,0
20160816T230003.867034,0,0,0,0
20160816T230004.867034,0,0,0,0
20160816T230005.867034,0,0,0,0
20160816T230006.867034,0,0,0,0
20160816T230007.867034,0,0,0,0
20160816T230008.867034,0,0,0,0
20160816T230009.867034,0,0,0,0
20160816T230010.867034,0,0,0,0
20160816T230011.867034,0,0,0,0
20160816T230012.867034,0,0,0,0
20160816T230013.867034,0,0,0,0
20160816T230014.867034,0,0,0,0
20160816T230015.867034,0,0,0,0
20160816T230016.867034,0,0,0,0
20160816T230017.867034,0,0,0,0
20160816T230018.867034,0,0,0,0
20160816T230019.867034,0,0,0,0
20160816T230020.867034,0,0,0,0
20160816T230021.867034,0,0,0,0
20160816T230022.867034,0,0,0,0
20160816T230023.867034,0,0,0,0
20160816T230024.867034,0,0,0,0
20160816T230025.867034,0,0,0,0
20160816T230026.867034,0,0,0,0
