Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-08-22T12:59:41.707126,0,0,0,0,
2016-08-22T12:59:42.707126,0,0,0,0,
2016-08-22T12:59:43.707126,0,0,0,0,
2016-08-22T12:59:44.707126,0,0,0,0,
2016-08-22T12:59:45.707126,0,0,0,0,
2016-08-22T12:59:41.707126,8348,39936,6,6,
2016-08-22T12:59:41.707126,8352,40966,1568,32,
2016-08-22T13:21:23.707126,1568,8368,45062,6,
2016-08-31T20:05:59.754001,1568,8380,48128,0,
2016-08-31T20:08:29.707126,8455,1798,1569,33,
2016-08-22T13:24:43.707126,1569,8468,5126,6,
2016-08-31T20:09:19.754001,1569,8480,8192,0,
2016-08-22T12:59:41.707126,1569,8482,8710,6,
2016-08-22T12:59:48.707126,0,0,0,0,
2016-08-31T20:17:01.707126,8711,1798,1570,34,
2016-08-22T13:33:23.707126,1570,8728,6150,6,
2016-08-31T20:17:59.754001,1570,8740,9216,0,
2016-08-22T12:59:41.707126,1570,8742,9734,6,
2016-08-22T12:59:50.707126,0,0,0,0,
2016-08-31T20:25:33.707126,8967,1798,1571,35,
2016-08-22T12:59:51.707126,0,0,0,0,
2016-08-22T12:59:52.707126,0,0,0,0,
2016-08-31T20:34:05.707126,9223,1798,1572,36,
2016-08-22T13:50:23.707126,1572,9238,5638,6,
2016-08-31T20:34:59.754001,1572,9250,8704,0,
2016-08-22T12:59:41.707126,1572,9252,9222,6,
