Time,Peregrine_Lock,Sensor_Temp_A,Sensor_Temp_B,Sensor_Temp_Duty_Cycle,Laser_Temp_A,Laser_Temp_B,Laser_Temp_Duty_Cycle,Laser_Current,Laser_Current_Zero_Cross,Microwave_Ref,Microwave_Ref_Zero_Cross,Zeeman_Freq_Zero_Cross,PCB_Temp_A,PCB_Temp_B,Laser_Diode_Voltage,Diode_Optical_Power,P2V4,P3V3,P8V,N8V,P12V,PCB_Temp_C,PCB_Temp_D,PCB_Temp_E,ICU_Checksum,ICU_Command_Count,ICU_Sync_Count
20160816T171421.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,128,65295,65295,65295,65295,65295,65295,16715775,1048335,65295,65295,16715775,4095,4095,4095,3840,0,0,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,0,0,256,65295,65295,65295,65295,16715775,1048335,65295,65295,16715775,4095,4095,4095,4095,4095,3840,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,
20160816T171424.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171425.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171426.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171427.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171428.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171429.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171430.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171431.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160818T061309.306207,8,0,256,5,26112,1,2313,592128,9,0,256,1383,0,266,2570,2560,0,2560,1,0,1384,0,267,2827,11,11,11,
20160816T171443.274957,5,27904,1,4112,4112,0,16,1,5,28160,1,1118481,4352,0,4352,1,0,1391,0,274,4626,4608,0,4608,18,0,0,
20160818T083847.439019,25,0,256,5,30464,1,6682,1710592,26,0,256,1400,0,283,6939,6912,0,6912,1,0,1401,0,284,7196,28,28,28,
20160816T171517.274957,5,32256,1,8481,8481,0,33,1,5,32512,1,2236962,8704,0,8704,1,0,1408,0,291,8995,8960,0,8960,35,0,0,
20160816T171432.274957,35,8995,8995,8995,8995,8995,8995,2302755,2302755,8995,8995,2302755,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,35,35,35,
