Time,Sensor_Laser,Laser_Micro,Zeeman,Sci_Data_ID,Sci_Data,Timestamp
20160816T171432.017145,0,0,3,0,65536,352512,
20160816T171432.149957,0,0,20,0,65536,356864,
20160816T171432.282769,0,0,37,0,65536,361216,
20160816T171432.415582,0,0,54,0,65536,365568,
20160816T171432.548395,0,0,71,0,65536,369920,
20160816T171432.681207,0,0,88,0,65536,374272,
20160816T171432.814019,0,0,105,0,65536,378624,
20160816T171432.946832,0,0,122,0,65536,382976,
20160816T171433.079645,0,0,139,0,65536,387328,
20160816T171433.212457,0,0,156,0,65536,391680,
20170507T044040.626519,
20170612T175504.814019,
20170719T070929.001519,
20170824T202353.189019,
20160905T122439.376519,14,14,0,0,17694721,65536,
20161001T094721.509332,31,31,0,0,18808833,65536,
20161027T071003.642145,48,48,0,0,19922945,65536,
20161122T043245.774957,65,65,0,0,21037057,65536,
20161218T015527.907769,82,82,0,0,22151169,65536,
20170112T231810.040582,99,99,0,0,23265281,65536,
20170207T204052.173395,116,116,0,0,24379393,65536,
20170305T180334.306207,133,133,0,0,25493505,65536,
20170331T152616.439019,150,150,0,0,26607617,65536,
20170426T124858.571832,167,167,0,0,27721729,65536,
20170522T101140.704645,184,184,0,0,28835841,65536,
20170617T073422.837457,201,201,0,0,29949953,65536,
20170713T045704.970269,218,218,0,0,31064065,65536,
20170808T021947.103082,235,235,0,0,32178177,65536,
20170902T234229.235895,252,252,0,0,33292289,65536,
20160903T235133.368707,13,13,0,0,34406402,65536,
20160929T211415.501519,30,30,0,0,35520514,65536,
20161025T183657.634332,47,47,0,0,36634626,65536,
20161120T155939.767145,64,64,0,0,37748738,65536,
20161216T132221.899957,81,81,0,0,38862850,65536,
20170111T104504.032769,98,98,0,0,39976962,65536,
20170206T080746.165582,115,115,0,0,41091074,65536,
20170304T053028.298395,132,132,0,0,42205186,65536,
20170330T025310.431207,149,149,0,0,43319298,65536,
20170508T171346.634332,175,175,0,0,45023234,65536,
20170603T143628.767145,192,192,0,0,46137346,65536,
20170629T115910.899957,209,209,0,0,47251458,65536,
20170725T092153.032769,226,226,0,0,48365570,65536,
20170820T064435.165582,243,243,0,0,49479682,65536,
20160821T065339.298395,4,4,0,0,50593795,65536,
20160916T041621.431207,21,21,0,0,51707907,65536,
20161025T183657.634332,47,47,0,0,53411843,65536,
20161120T155939.767145,64,64,0,0,54525955,65536,
20161216T132221.899957,81,81,0,0,55640067,65536,
20170111T104504.032769,98,98,0,0,56754179,65536,
20170206T080746.165582,115,115,0,0,57868291,65536,
20170304T053028.298395,132,132,0,0,58982403,65536,
20170330T025310.431207,149,149,0,0,60096515,65536,
20170508T171346.634332,175,175,0,0,61800451,65536,
20170603T143628.767145,192,192,0,0,62914563,65536,
20170629T115910.899957,209,209,0,0,64028675,65536,
20170725T092153.032769,226,226,0,0,65142787,65536,
20170820T064435.165582,243,243,0,0,66256899,65536,
20160821T065339.298395,4,4,0,0,67371012,65536,
20160916T041621.431207,21,21,0,0,68485124,65536,
20161025T183657.634332,47,47,0,0,70189060,65536,
20161120T155939.767145,64,64,0,0,71303172,65536,
20161216T132221.899957,81,81,0,0,72417284,65536,
20170111T104504.032769,98,98,0,0,73531396,65536,
20170206T080746.165582,115,115,0,0,74645508,65536,
20170304T053028.298395,132,132,0,0,75759620,65536,
20170330T025310.431207,149,149,0,0,76873732,65536,
20170508T171346.634332,175,175,0,0,78577668,65536,
20170603T143628.767145,192,192,0,0,79691780,65536,
20170629T115910.899957,209,209,0,0,80805892,65536,
20170725T092153.032769,226,226,0,0,81920004,65536,
20170820T064435.165582,243,243,0,0,83034116,65536,
20160821T065339.298395,4,4,0,0,84148229,65536,
20160916T041621.431207,21,21,0,0,85262341,65536,
20161025T183657.634332,47,47,0,0,86966277,65536,
20161120T155939.767145,64,64,0,0,88080389,65536,
20161216T132221.899957,81,81,0,0,89194501,65536,
20170111T104504.032769,98,98,0,0,90308613,65536,
20170206T080746.165582,115,115,0,0,91422725,65536,
20170304T053028.298395,132,132,0,0,92536837,65536,
20170330T025310.431207,149,149,0,0,93650949,65536,
20170508T171346.634332,175,175,0,0,95354885,65536,
20170603T143628.767145,192,192,0,0,96468997,65536,
20170629T115910.899957,209,209,0,0,97583109,65536,
