Time,Sensor_Laser,Laser_Micro,Zeeman,Sci_Data_ID,Sci_Data,Timestamp
20160816T231103.121059,35,0,0,0,16777220,2359552
20160816T231103.121059,91,0,0,0,16777220,6029568
20160816T231103.121059,48,0,0,0,16777222,3211520
20160816T231103.121059,87,0,0,0,16777223,5767424
20160816T231103.121059,38,0,0,0,16777224,2555904
20160816T231103.121059,112,1,0,0,224,0
20160816T231103.121059,66,1,0,0,224,0
20160816T231103.121059,46,1,0,0,1,0
20160816T231103.121059,88,0,0,0,16777226,5832960
20160816T231103.121059,18,1,0,0,15,0
20160816T231103.121059,49,0,0,0,16777227,3277056
20160816T231103.121059,82,1,0,0,224,0
20160816T231103.121059,103,0,0,0,16777229,6815744
20160816T231103.121059,16,1,0,0,3,0
20160816T231103.121059,53,0,0,0,16777233,3539200
20160816T231103.121059,86,1,0,0,1,0
20160816T231103.121059,128,0,0,0,18,8453903
20160816T231103.121059,35,1,0,0,1,0
20160816T231103.121059,26,0,0,0,16777236,1769728
20160816T231103.121059,90,0,0,0,16777236,5964032
20160816T231103.121059,112,1,0,0,224,0
20160816T231103.121059,7,1,0,0,1,0
20160816T231103.121059,123,0,0,0,16777237,8126720
