Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
2016-08-22T13:12:55.427845,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:12:56.427845,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:12:57.427845,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:12:58.427845,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:12:54.427845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:12:54.427845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-09-01T22:39:02.474720,55768,1753,55296,1753,55558,55769,1753,55552,256,2,19456,0,256,2,19712,0,
2016-08-26T02:15:50.427845,1,0,599,256,227,1753,58118,55779,227,58113,0,600,0,6,55781,1753,
2016-08-22T13:33:14.427845,0,1753,61190,55791,1753,61184,1753,61446,55792,1753,61440,1753,61702,55793,1753,61696,
2016-08-22T14:11:22.435657,1754,262,55809,1,0,628,0,1,0,629,256,6,55810,1754,518,55810,
2016-08-22T13:12:59.427845,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:12:54.427845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T14:11:22.677845,1754,8198,55840,42,10794,10794,10794,10794,10758,55842,1754,8710,55842,6,55843,1754,
2016-08-22T13:12:54.427845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:36:32.427845,0,1754,20998,55890,1754,20992,23644,23644,23644,23644,23644,1754,21510,55892,1754,21504,
2016-08-22T13:12:54.427845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-26T20:45:10.427845,1,0,729,0,6,55910,1754,26118,55910,112,28784,28784,28784,28784,28678,55912,
2016-08-22T13:12:54.427845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
