Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
2016-08-03T13:48:06.501385,1028,266,82,447,156,48,28,246,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:07.501449,1019,277,82,447,156,49,29,246,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:08.501513,1017,277,82,447,155,49,28,246,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:09.501577,1009,277,82,447,156,49,29,246,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:10.501641,1044,265,83,447,157,49,29,246,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:11.501705,1036,266,83,447,157,49,29,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:12.501769,1025,266,83,447,156,49,28,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:13.501833,1015,277,83,447,156,49,29,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:14.501897,1001,277,82,447,156,49,28,246,2493,3522,3430,3213,3222,3257,3317,3345
2016-08-03T13:48:15.501961,1018,277,82,447,156,49,29,247,2493,3522,3430,3213,3222,3257,3317,3345
2016-08-03T13:48:16.502025,1044,265,83,447,157,49,29,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:17.502089,1031,266,82,447,156,49,29,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:18.502153,1020,277,82,447,157,49,28,247,2493,3522,3430,3213,3222,3257,3318,3346
2016-08-03T13:48:19.502217,1016,277,82,447,156,49,28,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:20.502281,1006,277,83,447,156,48,28,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:21.502345,1041,265,82,447,156,49,29,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:22.502409,1041,265,83,447,156,49,29,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:23.502473,1027,266,83,447,156,49,29,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:24.502537,1017,276,82,447,156,49,28,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:25.502601,1016,277,82,447,156,49,28,247,2493,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:48:26.502665,1013,277,82,447,156,49,29,247,2493,3522,3430,3213,3222,3257,3318,3346
2016-08-03T13:48:27.502729,1045,265,83,447,156,49,29,246,2494,3522,3430,3213,3222,3257,3318,3345
