status time_3 time_2 time_1 time_0 n_fib n_fob n_fsc
01 00 00 01 d9 00 00 00
01 00 00 01 da 00 00 00
01 00 00 01 db 00 00 00
01 00 00 01 dc 00 00 00
01 00 00 01 dd 00 00 00
01 00 00 01 de 00 00 00
01 00 00 01 df 00 00 00
01 00 00 01 e0 00 00 00
01 00 00 01 e1 00 00 00
01 00 00 01 e2 00 00 00
01 00 00 01 e3 00 00 00
01 00 00 01 e4 00 00 00
01 00 00 01 e5 00 00 00
01 00 00 01 e6 00 00 00
01 00 00 01 e7 00 00 00
01 00 00 01 e8 00 00 00
01 00 00 01 e9 00 00 00
01 00 00 01 ea 00 00 00
01 00 00 01 eb 00 00 00
01 00 00 01 ec 00 00 00
01 00 00 01 ed 00 00 00
01 00 00 01 ee 00 00 00
01 00 00 01 ef 00 00 00
01 00 00 01 f0 00 00 00
01 00 00 01 f1 00 00 00
01 00 00 01 f2 00 00 00
01 00 00 01 f3 00 00 00
01 00 00 01 f4 00 00 00
01 00 00 01 f5 00 00 00
01 00 00 01 f6 00 00 00
01 00 00 01 f7 00 00 00
01 00 00 01 f8 00 00 00
01 00 00 01 f9 00 00 00
01 00 00 01 fa 00 00 00
01 00 00 01 fb 00 00 00
01 00 00 01 fc 00 00 00
01 00 00 01 fd 00 00 00
01 00 00 01 fe 00 00 00
01 00 00 01 ff 00 00 00
01 00 00 02 00 00 00 00
01 00 00 02 01 00 00 00
01 00 00 02 02 00 00 00
01 00 00 02 03 00 00 00
01 00 00 02 04 00 00 00
01 00 00 02 05 00 00 00
01 00 00 02 06 00 00 00
01 00 00 02 07 00 00 00
01 00 00 02 08 00 00 00
01 00 00 02 09 00 00 00
01 00 00 02 0a 00 00 00
01 00 00 02 0b 00 00 00
01 00 00 02 0c 00 00 00
01 00 00 02 0d 00 00 00
01 00 00 02 0e 00 00 00
01 00 00 02 0f 00 00 00
01 00 00 02 10 00 00 00
01 00 00 02 11 00 00 00
01 00 00 02 12 00 00 00
01 00 00 02 13 00 00 00
01 00 00 02 14 00 00 00
01 00 00 02 15 00 00 00
01 00 00 02 16 00 00 00
01 00 00 02 17 00 00 00
01 00 00 02 18 00 00 00
01 00 00 02 19 00 00 00
01 00 00 02 1a 00 00 00
01 00 00 02 1b 00 00 00
01 00 00 02 1c 00 00 00
01 00 00 02 1d 00 00 00
01 00 00 02 1e 00 00 00
01 00 00 02 1f 00 00 00
01 00 00 02 20 00 00 00
01 00 00 02 21 00 00 00
01 00 00 02 22 00 00 00
01 00 00 02 23 00 00 00
01 00 00 02 24 00 00 00
01 00 00 02 25 00 00 00
01 00 00 02 26 00 00 00
01 00 00 02 27 00 00 00
01 00 00 02 28 00 00 00
01 00 00 02 29 00 00 00
01 00 00 02 2a 00 00 00
01 00 00 02 2b 00 00 00
01 00 00 02 2c 00 00 00
01 00 00 02 2d 00 00 00
01 00 00 02 2e 00 00 00
01 00 00 02 2f 00 00 00
01 00 00 02 30 00 00 00
01 00 00 02 31 00 00 00
01 00 00 02 32 00 00 00
01 00 00 02 33 00 00 00
01 00 00 02 34 00 00 00
01 00 00 02 35 00 00 00
01 00 00 02 36 00 00 00
01 00 00 02 37 00 00 00
01 00 00 02 38 00 00 00
01 00 00 02 39 00 00 00
01 00 00 02 3a 00 00 00
01 00 00 02 3b 00 00 00
01 00 00 02 3c 00 00 00
01 00 00 02 3d 00 00 00
01 00 00 02 3e 00 00 00
01 00 00 02 3f 00 00 00
01 00 00 02 40 00 00 00
01 00 00 02 41 00 00 00
01 00 00 02 42 00 00 00
01 00 00 02 43 00 00 00
01 00 00 02 44 00 00 00
01 00 00 02 45 00 00 00
01 00 00 02 46 00 00 00
01 00 00 02 47 00 00 00
01 00 00 02 48 00 00 00
01 00 00 02 49 00 00 00
01 00 00 02 4a 00 00 00
01 00 00 02 4b 00 00 00
01 00 00 02 4c 00 00 00
01 00 00 02 4d 00 00 00
01 00 00 02 4e 00 00 00
01 00 00 02 4f 00 00 00
01 00 00 02 50 00 00 00
01 00 00 02 51 00 00 00
01 00 00 02 52 00 00 00
01 00 00 02 53 00 00 00
01 00 00 02 54 00 00 00
01 00 00 02 55 00 00 00
01 00 00 02 56 00 00 00
01 00 00 02 57 00 00 00
01 00 00 02 58 00 00 00
01 00 00 02 59 00 00 00
01 00 00 02 5a 00 00 00
01 00 00 02 5b 00 00 00
01 00 00 02 5c 00 00 00
01 00 00 02 5d 00 00 00
01 00 00 02 5e 00 00 00
01 00 00 02 5f 00 00 00
01 00 00 02 60 00 00 00
01 00 00 02 61 00 00 00
01 00 00 02 62 00 00 00
01 00 00 02 63 00 00 00
01 00 00 02 64 00 00 00
01 00 00 02 65 00 00 00
01 00 00 02 66 00 00 00
01 00 00 02 67 00 00 00
01 00 00 02 68 00 00 00
01 00 00 02 69 00 00 00
01 00 00 02 6a 00 00 00
01 00 00 02 6b 00 00 00
01 00 00 02 6c 00 00 00
01 00 00 02 6d 00 00 00
01 00 00 02 6e 00 00 00
01 00 00 02 6f 00 00 00
01 00 00 02 70 00 00 00
01 00 00 02 71 00 00 00
01 00 00 02 72 00 00 00
01 00 00 02 73 00 00 00
01 00 00 02 74 00 00 00
01 00 00 02 75 00 00 00
01 00 00 02 76 00 00 00
01 00 00 02 77 00 00 00
01 00 00 02 78 00 00 00
01 00 00 02 79 00 00 00
01 00 00 02 7a 00 00 00
01 00 00 02 7b 00 00 00
01 00 00 02 7c 00 00 00
01 00 00 02 7d 00 00 00
01 00 00 02 7e 00 00 00
01 00 00 02 7f 00 00 00
01 00 00 02 80 00 00 00
01 00 00 02 81 00 00 00
01 00 00 02 82 00 00 00
01 00 00 02 83 00 00 00
01 00 00 02 84 00 00 00
01 00 00 02 85 00 00 00
01 00 00 02 86 00 00 00
01 00 00 02 87 00 00 00
01 00 00 02 88 00 00 00
01 00 00 02 89 00 00 00
01 00 00 02 8a 00 00 00
01 00 00 02 8b 00 00 00
01 00 00 02 8c 00 00 00
01 00 00 02 8d 00 00 00
01 00 00 02 8e 00 00 00
01 00 00 02 8f 00 00 00
01 00 00 02 90 00 00 00
01 00 00 02 91 00 00 00
01 00 00 02 92 00 00 00
01 00 00 02 93 00 00 00
01 00 00 02 94 00 00 00
01 00 00 02 95 00 00 00
01 00 00 02 96 00 00 00
01 00 00 02 97 00 00 00
01 00 00 02 98 00 00 00
01 00 00 02 99 00 00 00
01 00 00 02 9a 00 00 00
01 00 00 02 9b 00 00 00
01 00 00 02 9c 00 00 00
01 00 00 02 9d 00 00 00
01 00 00 02 9e 00 00 00
01 00 00 02 9f 00 00 00
01 00 00 02 a0 00 00 00
01 00 00 02 a1 00 00 00
01 00 00 02 a2 00 00 00
01 00 00 02 a3 00 00 00
01 00 00 02 a4 00 00 00
01 00 00 02 a5 00 00 00
01 00 00 02 a6 00 00 00
01 00 00 02 a7 00 00 00
01 00 00 02 a8 00 00 00
01 00 00 02 a9 00 00 00
01 00 00 02 aa 00 00 00
01 00 00 02 ab 00 00 00
01 00 00 02 ac 00 00 00
01 00 00 02 ad 00 00 00
01 00 00 02 ae 00 00 00
