08/30/2016 02:05:39 PM n_total 10 n_fib 10, n_fob 0, n_fsc 0
08/30/2016 02:05:40 PM n_total 138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:41 PM n_total 266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:42 PM n_total 394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:43 PM n_total 522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:44 PM n_total 650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:45 PM n_total 778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:46 PM n_total 906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:47 PM n_total 1034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:48 PM n_total 1162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:05:49 PM n_total 1176 n_fib 0, n_fob 0, n_fsc 14
08/30/2016 02:06:24 PM n_total 18 n_fib 18, n_fob 0, n_fsc 0
08/30/2016 02:06:25 PM n_total 146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:26 PM n_total 274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:27 PM n_total 402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:28 PM n_total 530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:29 PM n_total 658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:30 PM n_total 786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:31 PM n_total 914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:32 PM n_total 1042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:33 PM n_total 1170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:34 PM n_total 1298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:35 PM n_total 1426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:36 PM n_total 1554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:37 PM n_total 1682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:38 PM n_total 1810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:39 PM n_total 1938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:40 PM n_total 2066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:41 PM n_total 2194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:42 PM n_total 2322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:43 PM n_total 2450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:44 PM n_total 2578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:45 PM n_total 2706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:46 PM n_total 2834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:47 PM n_total 2962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:48 PM n_total 3090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:49 PM n_total 3218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:50 PM n_total 3346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:51 PM n_total 3474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:52 PM n_total 3602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:53 PM n_total 3730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:54 PM n_total 3858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:55 PM n_total 3986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:56 PM n_total 4114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:57 PM n_total 4242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:06:58 PM n_total 4370 n_fib 128, n_fob 0, n_fsc 0
