status,date,time,sync_counter
0,2016-07-27 , 12:24:03.624115,1
0,2016-07-27 , 12:24:03.639739,6
0,2016-07-27 , 12:24:03.647551,7
0,2016-07-27 , 12:24:03.655363,8
0,2016-07-27 , 12:24:03.663175,9
0,2016-07-27 , 12:24:03.670987,10
0,2016-07-27 , 12:24:03.678799,11
0,2016-07-27 , 12:24:03.686611,12
0,2016-07-27 , 12:24:03.694423,13
0,2016-07-27 , 12:24:03.702235,14
0,2016-07-27 , 12:24:03.710047,15
0,2016-07-27 , 12:24:03.717859,16
0,2016-07-27 , 12:24:03.725671,17
0,2016-07-27 , 12:24:03.733483,18
0,2016-07-27 , 12:24:03.741295,19
0,2016-07-27 , 12:24:03.749107,20
0,2016-07-27 , 12:24:03.756919,21
0,2016-07-27 , 12:24:03.764731,22
0,2016-07-27 , 12:24:03.772543,23
0,2016-07-27 , 12:24:03.780355,24
0,2016-07-27 , 12:24:03.788167,25
0,2016-07-27 , 12:24:03.795979,26
0,2016-07-27 , 12:24:03.803791,27
0,2016-07-27 , 12:24:03.811603,28
0,2016-07-27 , 12:24:03.819415,29
0,2016-07-27 , 12:24:03.827227,30
0,2016-07-27 , 12:24:03.835039,31
0,2016-07-27 , 12:24:03.842851,32
0,2016-07-27 , 12:24:03.850663,33
0,2016-07-27 , 12:24:03.858475,34
0,2016-07-27 , 12:24:03.866287,35
0,2016-07-27 , 12:24:03.874099,36
0,2016-07-27 , 12:24:03.881911,37
0,2016-07-27 , 12:24:03.889723,38
0,2016-07-27 , 12:24:03.897535,39
0,2016-07-27 , 12:24:03.905347,40
0,2016-07-27 , 12:24:03.913159,41
0,2016-07-27 , 12:24:03.920971,42
0,2016-07-27 , 12:24:03.928783,43
0,2016-07-27 , 12:24:03.936595,44
0,2016-07-27 , 12:24:03.944407,45
0,2016-07-27 , 12:24:03.952219,46
0,2016-07-27 , 12:24:03.960031,47
0,2016-07-27 , 12:24:03.967843,48
0,2016-07-27 , 12:24:03.975655,49
0,2016-07-27 , 12:24:03.983467,50
0,2016-07-27 , 12:24:03.991279,51
0,2016-07-27 , 12:24:03.999091,52
0,2016-07-27 , 12:24:04.006903,53
0,2016-07-27 , 12:24:04.014715,54
0,2016-07-27 , 12:24:04.022527,55
0,2016-07-27 , 12:24:04.030339,56
0,2016-07-27 , 12:24:04.038151,57
0,2016-07-27 , 12:24:04.045963,58
0,2016-07-27 , 12:24:04.053775,59
0,2016-07-27 , 12:24:04.061587,60
0,2016-07-27 , 12:24:04.069399,61
0,2016-07-27 , 12:24:04.077211,62
0,2016-07-27 , 12:24:04.085023,63
0,2016-07-27 , 12:24:04.092835,64
0,2016-07-27 , 12:24:04.100647,65
0,2016-07-27 , 12:24:04.108459,66
0,2016-07-27 , 12:24:04.116271,67
0,2016-07-27 , 12:24:04.124083,68
0,2016-07-27 , 12:24:04.131895,69
0,2016-07-27 , 12:24:04.139707,70
0,2016-07-27 , 12:24:04.147519,71
0,2016-07-27 , 12:24:04.155331,72
0,2016-07-27 , 12:24:04.163143,73
0,2016-07-27 , 12:24:04.170955,74
0,2016-07-27 , 12:24:04.178767,75
0,2016-07-27 , 12:24:04.186579,76
0,2016-07-27 , 12:24:04.194391,77
0,2016-07-27 , 12:24:04.202203,78
0,2016-07-27 , 12:24:04.210015,79
0,2016-07-27 , 12:24:04.217827,80
0,2016-07-27 , 12:24:04.225639,81
0,2016-07-27 , 12:24:04.233451,82
0,2016-07-27 , 12:24:04.241263,83
0,2016-07-27 , 12:24:04.249075,84
0,2016-07-27 , 12:24:04.256887,85
0,2016-07-27 , 12:24:04.264699,86
0,2016-07-27 , 12:24:04.272511,87
0,2016-07-27 , 12:24:04.280323,88
