time,status,n_fib,n_fob,n_fsc,x,y,z
20160801-115515,106,129,1,129,0,74245,256
20160801-115515,0,1,0,1,8356097,8356097,98561
20160801-115515,0,1,0,1,8421633,8421633,98561
20160801-115515,0,1,0,1,8487169,8487169,98561
20160801-115515,0,1,0,1,8552705,8552705,98561
20160801-115515,0,1,0,1,8618241,8618241,98561
20160801-115515,0,1,0,1,8683777,8683777,98561
20160801-115515,0,1,0,1,8749313,8749313,98561
20160801-115515,0,1,0,1,8814849,8814849,98561
20160801-115515,0,1,0,1,8880385,8880385,98561
20160801-115515,0,1,0,1,8945921,8945921,98561
20160801-115515,0,1,0,1,9011457,9011457,98561
20160801-115515,0,1,0,1,9076993,9076993,98561
20160801-115515,0,1,0,1,9142529,9142529,98561
20160801-115515,0,1,0,1,9208065,9208065,98561
20160801-115515,0,1,0,1,9273601,9273601,98561
20160801-115515,0,1,0,1,9339137,9339137,98561
20160801-115515,0,1,0,1,9404673,9404673,98561
20160801-115515,0,1,0,1,9470209,9470209,98561
20160801-115515,0,1,0,1,9535745,9535745,98561
20160801-115515,0,1,0,1,9601281,9601281,98561
20160801-115515,0,1,0,1,9666817,9666817,98561
20160801-115515,0,1,0,1,9732353,9732353,98561
20160801-115515,0,1,0,1,9797889,9797889,98561
20160801-115515,0,1,0,1,9863425,9863425,98561
20160801-115515,0,1,0,1,9928961,9928961,98561
20160801-115515,0,1,0,1,9994497,9994497,98561
20160801-115515,0,1,0,1,10060033,10060033,98561
20160801-115515,0,1,0,1,10125569,10125569,98561
20160801-115515,0,1,0,1,10191105,10191105,98561
20160801-115515,0,1,0,1,10256641,10256641,98561
20160801-115515,0,1,0,1,10322177,10322177,98561
20160801-115515,0,1,0,1,10387713,10387713,98561
20160801-115515,0,1,0,1,10453249,10453249,98561
20160801-115515,0,1,0,1,10518785,10518785,98561
20160801-115515,0,1,0,1,10584321,10584321,98561
20160801-115515,0,1,0,1,10649857,10649857,98561
20160801-115515,0,1,0,1,10715393,10715393,98561
20160801-115515,0,1,0,1,10780929,10780929,98561
20160801-115515,0,1,0,1,10846465,10846465,98561
20160801-115515,0,1,0,1,10912001,10912001,98561
20160801-115515,0,1,0,1,10977537,10977537,98561
20160801-115515,0,1,0,1,11043073,11043073,98561
20160801-115515,0,1,0,1,11108609,11108609,98561
20160801-115515,0,1,0,1,11174145,11174145,98561
20160801-115515,0,1,0,1,11239681,11239681,98561
20160801-115515,0,1,0,1,11305217,11305217,98561
20160801-115515,0,1,0,1,11370753,11370753,98561
20160801-115515,0,1,0,1,11436289,11436289,98561
20160801-115515,0,1,0,1,11501825,11501825,98561
20160801-115515,0,1,0,1,11567361,11567361,98561
20160801-115515,0,1,0,1,11632897,11632897,98561
20160801-115515,0,1,0,1,11698433,11698433,98561
20160801-115515,0,1,0,1,11763969,11763969,98561
20160801-115515,0,1,0,1,11829505,11829505,98561
20160801-115515,0,1,0,1,11895041,11895041,98561
20160801-115515,0,1,0,1,11960577,11960577,98561
20160801-115515,0,1,0,1,12026113,12026113,98561
20160801-115515,0,1,0,1,12091649,12091649,98561
20160801-115515,0,1,0,1,12157185,12157185,98561
20160801-115515,0,1,0,1,12222721,12222721,98561
20160801-115515,0,1,0,1,12288257,12288257,98561
20160801-115515,0,1,0,1,12353793,12353793,98561
20160801-115515,0,1,0,1,12419329,12419329,98561
20160801-115515,0,1,0,1,12484865,12484865,98561
20160801-115515,0,1,0,1,12550401,12550401,98561
20160801-115515,0,1,0,1,12615937,12615937,98561
20160801-115515,0,1,0,1,12681473,12681473,98561
