time,x,y,z
20160805 16:41:08.129618,0,0,0,0
20160805 16:41:08.137431,0,227816,227816,227816
20160805 16:41:08.145244,0,227817,227817,227817
20160805 16:41:08.153056,0,227818,227818,227818
20160805 16:41:08.160868,0,227819,227819,227819
20160805 16:41:08.168681,0,227820,227820,227820
20160805 16:41:08.176494,0,227821,227821,227821
20160805 16:41:08.184306,0,227822,227822,227822
20160805 16:41:08.192118,0,227823,227823,227823
20160805 16:41:08.199931,0,227824,227824,227824
20160805 16:41:08.207744,0,227825,227825,227825
20160805 16:41:08.215556,0,227826,227826,227826
20160805 16:41:08.223368,0,227827,227827,227827
20160805 16:41:08.231181,0,227828,227828,227828
20160805 16:41:08.238994,0,227829,227829,227829
20160805 16:41:08.246806,0,227830,227830,227830
20160805 16:41:08.254618,0,227831,227831,227831
20160805 16:41:08.262431,0,227832,227832,227832
20160805 16:41:08.270244,0,227833,227833,227833
20160805 16:41:08.278056,0,227834,227834,227834
20160805 16:41:08.285868,0,227835,227835,227835
20160805 16:41:08.293681,0,227836,227836,227836
20160805 16:41:08.301494,0,227837,227837,227837
20160805 16:41:08.309306,0,227838,227838,227838
20160805 16:41:08.317118,0,227839,227839,227839
20160805 16:41:08.324931,0,227840,227840,227840
20160805 16:41:08.332744,0,227841,227841,227841
20160805 16:41:08.340556,0,227842,227842,227842
20160805 16:41:08.348368,0,227843,227843,227843
20160805 16:41:08.356181,0,227844,227844,227844
20160805 16:41:08.363994,0,227845,227845,227845
20160805 16:41:08.371806,0,227846,227846,227846
20160805 16:41:08.379618,0,227847,227847,227847
20160805 16:41:08.387431,0,227848,227848,227848
20160805 16:41:08.395244,0,227849,227849,227849
20160805 16:41:08.403056,0,227850,227850,227850
20160805 16:41:08.410868,0,227851,227851,227851
20160805 16:41:08.418681,0,227852,227852,227852
20160805 16:41:08.426494,0,227853,227853,227853
20160805 16:41:08.434306,0,227854,227854,227854
20160805 16:41:08.442118,0,227855,227855,227855
20160805 16:41:08.449931,0,227856,227856,227856
20160805 16:41:08.457744,0,227857,227857,227857
20160805 16:41:08.465556,0,227858,227858,227858
20160805 16:41:08.473368,0,227859,227859,227859
20160805 16:41:08.481181,0,227860,227860,227860
20160805 16:41:08.488994,0,227861,227861,227861
20160805 16:41:08.496806,0,227862,227862,227862
20160805 16:41:08.504618,0,227863,227863,227863
20160805 16:41:08.512431,0,227864,227864,227864
20160805 16:41:08.520244,0,227865,227865,227865
20160805 16:41:08.528056,0,227866,227866,227866
20160805 16:41:08.535868,0,227867,227867,227867
20160805 16:41:08.543681,0,227868,227868,227868
20160805 16:41:08.551494,0,227869,227869,227869
20160805 16:41:08.559306,0,227870,227870,227870
20160805 16:41:08.567118,0,227871,227871,227871
20160805 16:41:08.574931,0,227872,227872,227872
20160805 16:41:08.582744,0,227873,227873,227873
20160805 16:41:08.590556,0,227874,227874,227874
