time,status,x,y,z
20160810 15:44:15.369376,0,0,0,0
20160810 15:44:15.377189,0,3,3,3
20160810 15:44:15.385001,0,4,4,4
20160810 15:44:15.392813,0,5,5,5
20160810 15:44:15.400626,0,6,6,6
20160810 15:44:15.408439,0,7,7,7
20160810 15:44:15.416251,0,8,8,8
20160810 15:44:15.424063,0,9,9,9
20160810 15:44:15.431876,0,10,10,10
20160810 15:44:15.439689,0,11,11,11
20160810 15:44:15.447501,0,12,12,12
20160810 15:44:15.455313,0,13,13,13
20160810 15:44:15.463126,0,14,14,14
20160810 15:44:15.470939,0,15,15,15
20160810 15:44:15.478751,0,16,16,16
20160810 15:44:15.486563,0,17,17,17
20160810 15:44:15.494376,0,18,18,18
20160810 15:44:15.502189,0,19,19,19
20160810 15:44:15.510001,0,20,20,20
20160810 15:44:15.517813,0,21,21,21
20160810 15:44:15.525626,0,22,22,22
20160810 15:44:15.533439,0,23,23,23
20160810 15:44:15.541251,0,24,24,24
20160810 15:44:15.549063,0,25,25,25
20160810 15:44:15.556876,0,26,26,26
20160810 15:44:15.564689,0,27,27,27
20160810 15:44:15.572501,0,28,28,28
20160810 15:44:15.580313,0,29,29,29
20160810 15:44:15.588126,0,30,30,30
20160810 15:44:15.595939,0,31,31,31
20160810 15:44:15.603751,0,32,32,32
20160810 15:44:15.611563,0,33,33,33
20160810 15:44:15.619376,0,34,34,34
20160810 15:44:15.627189,0,35,35,35
20160810 15:44:15.635001,0,36,36,36
20160810 15:44:15.642813,0,37,37,37
20160810 15:44:15.650626,0,38,38,38
20160810 15:44:15.658439,0,39,39,39
20160810 15:44:15.666251,0,40,40,40
20160810 15:44:15.674063,0,41,41,41
20160810 15:44:15.681876,0,42,42,42
20160810 15:44:15.689689,0,43,43,43
20160810 15:44:15.697501,0,44,44,44
20160810 15:44:15.705313,0,45,45,45
20160810 15:44:15.713126,0,46,46,46
20160810 15:44:15.720939,0,47,47,47
20160810 15:44:15.728751,0,48,48,48
20160810 15:44:15.736563,0,49,49,49
20160810 15:44:15.744376,0,50,50,50
20160810 15:44:15.752189,0,51,51,51
20160810 15:44:15.760001,0,52,52,52
20160810 15:44:15.767813,0,53,53,53
20160810 15:44:15.775626,0,54,54,54
20160810 15:44:15.783439,0,55,55,55
20160810 15:44:15.791251,0,56,56,56
20160810 15:44:15.799063,0,57,57,57
20160810 15:44:15.806876,0,58,58,58
20160810 15:44:15.814689,0,59,59,59
20160810 15:44:15.822501,0,60,60,60
20160810 15:44:15.830313,0,61,61,61
20160810 15:44:15.838126,0,62,62,62
20160810 15:44:15.845939,0,63,63,63
20160810 15:44:15.853751,0,64,64,64
20160810 15:44:15.861563,0,65,65,65
20160810 15:44:15.869376,0,66,66,66
20160810 15:44:15.877189,0,67,67,67
20160810 15:44:15.885001,0,68,68,68
20160810 15:44:15.892813,0,69,69,69
20160810 15:44:15.900626,0,70,70,70
20160810 15:44:15.908439,0,71,71,71
20160810 15:44:15.916251,0,72,72,72
20160810 15:44:15.924063,0,73,73,73
20160810 15:44:15.931876,0,74,74,74
20160810 15:44:15.939689,0,75,75,75
20160810 15:44:15.947501,0,76,76,76
20160810 15:44:15.955313,0,77,77,77
20160810 15:44:15.963126,0,78,78,78
20160810 15:44:15.970939,0,79,79,79
20160810 15:44:15.978751,0,80,80,80
20160810 15:44:15.986563,0,81,81,81
20160810 15:44:15.994376,0,82,82,82
20160810 15:44:16.002189,0,83,83,83
20160810 15:44:16.010001,0,84,84,84
20160810 15:44:16.017813,0,85,85,85
20160810 15:44:16.025626,0,86,86,86
20160810 15:44:16.033439,0,87,87,87
20160810 15:44:16.041251,0,88,88,88
20160810 15:44:16.049063,0,89,89,89
20160810 15:44:16.056876,0,90,90,90
20160810 15:44:16.064689,0,91,91,91
20160810 15:44:16.072501,0,92,92,92
20160810 15:44:16.080313,0,93,93,93
20160810 15:44:16.088126,0,94,94,94
20160810 15:44:16.095939,0,95,95,95
20160810 15:44:16.103751,0,96,96,96
20160810 15:44:16.111563,0,97,97,97
20160810 15:44:16.119376,0,98,98,98
20160810 15:44:16.127189,0,99,99,99
20160810 15:44:16.135001,0,100,100,100
20160810 15:44:16.142813,0,101,101,101
20160810 15:44:16.150626,0,102,102,102
20160810 15:44:16.158439,0,103,103,103
20160810 15:44:16.166251,0,104,104,104
20160810 15:44:16.174063,0,105,105,105
20160810 15:44:16.181876,0,106,106,106
20160810 15:44:16.189689,0,107,107,107
20160810 15:44:16.197501,0,108,108,108
20160810 15:44:16.205313,0,109,109,109
20160810 15:44:16.213126,0,110,110,110
20160810 15:44:16.220939,0,111,111,111
20160810 15:44:16.228751,0,112,112,112
