date,time,sync_counter
2016-07-27, 11:13:35.472385, 0
2016-07-27, 11:13:35.478391, 1
2016-07-27, 11:13:35.486428, 2
2016-07-27, 11:13:35.494506, 3
2016-07-27, 11:13:35.502419, 4
2016-07-27, 11:13:35.507426, 5
2016-07-27, 11:13:35.514703, 6
2016-07-27, 11:13:35.523113, 7
2016-07-27, 11:13:35.531456, 8
2016-07-27, 11:13:35.539651, 9
2016-07-27, 11:13:35.547659, 10
2016-07-27, 11:13:35.555713, 11
2016-07-27, 11:13:35.563807, 12
2016-07-27, 11:13:35.571771, 13
2016-07-27, 11:13:35.580065, 14
2016-07-27, 11:13:35.588268, 15
2016-07-27, 11:13:35.593122, 16
2016-07-27, 11:13:35.601473, 17
2016-07-27, 11:13:35.609428, 18
2016-07-27, 11:13:35.617636, 19
2016-07-27, 11:13:35.625789, 20
2016-07-27, 11:13:35.634131, 21
2016-07-27, 11:13:35.642029, 22
2016-07-27, 11:13:35.650069, 23
2016-07-27, 11:13:35.658059, 24
2016-07-27, 11:13:35.667072, 25
2016-07-27, 11:13:35.671076, 26
2016-07-27, 11:13:35.679086, 27
2016-07-27, 11:13:35.687097, 28
2016-07-27, 11:13:35.695102, 29
2016-07-27, 11:13:35.703149, 30
2016-07-27, 11:13:35.711558, 31
2016-07-27, 11:13:35.719844, 32
2016-07-27, 11:13:35.728000, 33
2016-07-27, 11:13:35.736518, 34
2016-07-27, 11:13:35.744944, 35
2016-07-27, 11:13:35.752955, 36
2016-07-27, 11:13:35.756953, 37
2016-07-27, 11:13:35.764969, 38
2016-07-27, 11:13:35.772978, 39
2016-07-27, 11:13:35.780988, 40
2016-07-27, 11:13:35.789186, 41
2016-07-27, 11:13:35.797304, 42
2016-07-27, 11:13:35.805546, 43
2016-07-27, 11:13:35.813787, 44
2016-07-27, 11:13:35.822251, 45
2016-07-27, 11:13:35.830626, 46
2016-07-27, 11:13:35.838793, 47
2016-07-27, 11:13:35.843017, 48
2016-07-27, 11:13:35.851223, 49
2016-07-27, 11:13:35.859420, 50
2016-07-27, 11:13:35.867429, 51
2016-07-27, 11:13:35.875801, 52
2016-07-27, 11:13:35.883977, 53
2016-07-27, 11:13:35.892095, 54
2016-07-27, 11:13:35.900300, 55
2016-07-27, 11:13:35.908470, 56
2016-07-27, 11:13:35.916386, 57
2016-07-27, 11:13:35.924837, 58
2016-07-27, 11:13:35.929003, 59
2016-07-27, 11:13:35.936947, 60
2016-07-27, 11:13:35.944951, 61
2016-07-27, 11:13:35.953991, 62
2016-07-27, 11:13:35.961681, 63
2016-07-27, 11:13:35.969697, 64
2016-07-27, 11:13:35.978695, 65
2016-07-27, 11:13:35.986705, 66
2016-07-27, 11:13:35.994714, 67
2016-07-27, 11:13:36.002704, 68
2016-07-27, 11:13:36.010922, 69
2016-07-27, 11:13:36.015029, 70
2016-07-27, 11:13:36.023329, 71
2016-07-27, 11:13:36.031452, 72
2016-07-27, 11:13:36.039460, 73
2016-07-27, 11:13:36.047485, 74
2016-07-27, 11:13:36.055497, 75
2016-07-27, 11:13:36.063488, 76
2016-07-27, 11:13:36.071498, 77
2016-07-27, 11:13:36.080506, 78
2016-07-27, 11:13:36.088534, 79
2016-07-27, 11:13:36.092539, 80
2016-07-27, 11:13:36.100548, 81
2016-07-27, 11:13:36.109227, 82
2016-07-27, 11:13:36.117354, 83
2016-07-27, 11:13:36.125368, 84
2016-07-27, 11:13:36.133375, 85
2016-07-27, 11:13:36.141485, 86
2016-07-27, 11:13:36.149620, 87
2016-07-27, 11:13:36.157651, 88
2016-07-27, 11:13:36.166664, 89
2016-07-27, 11:13:36.174796, 90
2016-07-27, 11:13:36.178837, 91
2016-07-27, 11:13:36.186807, 92
2016-07-27, 11:13:36.194888, 93
2016-07-27, 11:13:36.202811, 94
2016-07-27, 11:13:36.210964, 95
2016-07-27, 11:13:36.219146, 96
2016-07-27, 11:13:36.228105, 97
2016-07-27, 11:13:36.236111, 98
2016-07-27, 11:13:36.244184, 99
2016-07-27, 11:13:36.252531, 100
2016-07-27, 11:13:36.260750, 101
2016-07-27, 11:13:36.264456, 102
2016-07-27, 11:13:36.272555, 103
2016-07-27, 11:13:36.280985, 104
2016-07-27, 11:13:36.289216, 105
2016-07-27, 11:13:36.297566, 106
2016-07-27, 11:13:36.305900, 107
2016-07-27, 11:13:36.313906, 108
2016-07-27, 11:13:36.321916, 109
2016-07-27, 11:13:36.329927, 110
2016-07-27, 11:13:36.337936, 111
2016-07-27, 11:13:36.346026, 112
2016-07-27, 11:13:36.350086, 113
2016-07-27, 11:13:36.359074, 114
2016-07-27, 11:13:36.367083, 115
2016-07-27, 11:13:36.375177, 116
2016-07-27, 11:13:36.383145, 117
2016-07-27, 11:13:36.392158, 118
2016-07-27, 11:13:36.400166, 119
2016-07-27, 11:13:36.408215, 120
2016-07-27, 11:13:36.416279, 121
2016-07-27, 11:13:36.424289, 122
2016-07-27, 11:13:36.432296, 123
2016-07-27, 11:13:36.437214, 124
2016-07-27, 11:13:36.445219, 125
2016-07-27, 11:13:36.453226, 126
2016-07-27, 11:13:36.461241, 127
2016-07-27, 11:13:36.469267, 128
2016-07-27, 11:13:36.477258, 129
2016-07-27, 11:13:36.486266, 130
2016-07-27, 11:13:36.494275, 131
2016-07-27, 11:13:36.502440, 132
2016-07-27, 11:13:36.509930, 133
2016-07-27, 11:13:36.515018, 134
2016-07-27, 11:13:36.523048, 135
2016-07-27, 11:13:36.531039, 136
2016-07-27, 11:13:36.539277, 137
2016-07-27, 11:13:36.547307, 138
2016-07-27, 11:13:36.555407, 139
2016-07-27, 11:13:36.563616, 140
2016-07-27, 11:13:36.571654, 141
2016-07-27, 11:13:36.579726, 142
2016-07-27, 11:13:36.588189, 143
2016-07-27, 11:13:36.596115, 144
2016-07-27, 11:13:36.600486, 145
2016-07-27, 11:13:36.608674, 146
2016-07-27, 11:13:36.616979, 147
2016-07-27, 11:13:36.624857, 148
2016-07-27, 11:13:36.633100, 149
2016-07-27, 11:13:36.641544, 150
2016-07-27, 11:13:36.649469, 151
2016-07-27, 11:13:36.657477, 152
2016-07-27, 11:13:36.665649, 153
2016-07-27, 11:13:36.674684, 154
2016-07-27, 11:13:36.682692, 155
2016-07-27, 11:13:36.686717, 156
2016-07-27, 11:13:36.694860, 157
2016-07-27, 11:13:36.702899, 158
2016-07-27, 11:13:36.711046, 159
2016-07-27, 11:13:36.719931, 160
2016-07-27, 11:13:36.728088, 161
2016-07-27, 11:13:36.736096, 162
2016-07-27, 11:13:36.744105, 163
2016-07-27, 11:13:36.752114, 164
2016-07-27, 11:13:36.760358, 165
2016-07-27, 11:13:36.768635, 166
2016-07-27, 11:13:36.772721, 167
2016-07-27, 11:13:36.780730, 168
2016-07-27, 11:13:36.788878, 169
2016-07-27, 11:13:36.797061, 170
2016-07-27, 11:13:36.805160, 171
2016-07-27, 11:13:36.813301, 172
2016-07-27, 11:13:36.821310, 173
2016-07-27, 11:13:36.829318, 174
2016-07-27, 11:13:36.838345, 175
2016-07-27, 11:13:36.846345, 176
2016-07-27, 11:13:36.853885, 177
2016-07-27, 11:13:36.858852, 178
2016-07-27, 11:13:36.867487, 179
2016-07-27, 11:13:36.875494, 180
2016-07-27, 11:13:36.883413, 181
2016-07-27, 11:13:36.891849, 182
2016-07-27, 11:13:36.899464, 183
2016-07-27, 11:13:36.907536, 184
2016-07-27, 11:13:36.915728, 185
2016-07-27, 11:13:36.924733, 186
2016-07-27, 11:13:36.932741, 187
