time,status,n_fib,n_fob,n_fsc,x,y,z,sensor range
20160815-043009.458716,2,1,106,1,258,615170,615170,9
20160801-124921.458716,9,0,1,0,66057,16450057,16450057,251
20160804-163931.474341,57,0,57,0,3618615,3604482,1390338,21
20161028-123409.896216,21,0,56,0,136504,136448,11,212
20161027-081409.474341,57,2,57,2,1376256,3029,65537,2
20160801-125757.646216,1,24,2,24,12059160,12058806,11974326,0
20160804-170923.474341,185,0,185,0,12040119,11993090,1619714,24
20160908-010522.896216,2,184,184,184,536,12059160,0,15
20170510-064641.474341,185,2,185,2,1572864,3925,65537,2
20160801-124921.575904,24,0,1,0,66072,12452376,12452376,190
