time,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.672830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.680643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.680643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.680643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.680643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.680643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.688455,0,0,0,0,0,0,0,0,0
20160808 15:40:11.688455,0,0,0,0,0,0,0,0,0
20160808 15:40:11.688455,0,0,0,0,0,0,0,0,0
20160808 15:40:11.688455,0,0,0,0,0,0,0,0,0
20160808 15:40:11.696267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.696267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.696267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.696267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.696267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.704080,0,0,0,0,0,0,0,0,0
20160808 15:40:11.704080,0,0,0,0,0,0,0,0,0
20160808 15:40:11.704080,0,0,0,0,0,0,0,0,0
20160808 15:40:11.704080,0,0,0,0,0,0,0,0,0
20160808 15:40:11.711893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.711893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.711893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.711893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.711893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.719705,0,0,0,0,0,0,0,0,0
20160808 15:40:11.719705,0,0,0,0,0,0,0,0,0
20160808 15:40:11.719705,0,0,0,0,0,0,0,0,0
20160808 15:40:11.719705,0,0,0,0,0,0,0,0,0
20160808 15:40:11.727517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.727517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.727517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.727517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.727517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.735330,0,0,0,0,0,0,0,0,0
20160808 15:40:11.735330,0,0,0,0,0,0,0,0,0
20160808 15:40:11.735330,0,0,0,0,0,0,0,0,0
20160808 15:40:11.735330,0,0,0,0,0,0,0,0,0
20160808 15:40:11.743143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.743143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.743143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.743143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.743143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.750955,0,0,0,0,0,0,0,0,0
20160808 15:40:11.750955,0,0,0,0,0,0,0,0,0
20160808 15:40:11.750955,0,0,0,0,0,0,0,0,0
20160808 15:40:11.750955,0,0,0,0,0,0,0,0,0
20160808 15:40:11.758767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.758767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.758767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.758767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.758767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.766580,0,0,0,0,0,0,0,0,0
20160808 15:40:11.766580,0,0,0,0,0,0,0,0,0
20160808 15:40:11.766580,0,0,0,0,0,0,0,0,0
20160808 15:40:11.766580,0,0,0,0,0,0,0,0,0
20160808 15:40:11.774393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.774393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.774393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.774393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.774393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.782205,0,0,0,0,0,0,0,0,0
20160808 15:40:11.782205,0,0,0,0,0,0,0,0,0
20160808 15:40:11.782205,0,0,0,0,0,0,0,0,0
20160808 15:40:11.782205,0,0,0,0,0,0,0,0,0
20160808 15:40:11.790017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.790017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.790017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.790017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.790017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.797830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.797830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.797830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.797830,0,0,0,0,0,0,0,0,0
20160808 15:40:11.805643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.805643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.805643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.805643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.805643,0,0,0,0,0,0,0,0,0
20160808 15:40:11.813455,0,0,0,0,0,0,0,0,0
20160808 15:40:11.813455,0,0,0,0,0,0,0,0,0
20160808 15:40:11.813455,0,0,0,0,0,0,0,0,0
20160808 15:40:11.813455,0,0,0,0,0,0,0,0,0
20160808 15:40:11.821267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.821267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.821267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.821267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.821267,0,0,0,0,0,0,0,0,0
20160808 15:40:11.829080,0,0,0,0,0,0,0,0,0
20160808 15:40:11.829080,0,0,0,0,0,0,0,0,0
20160808 15:40:11.829080,0,0,0,0,0,0,0,0,0
20160808 15:40:11.829080,0,0,0,0,0,0,0,0,0
20160808 15:40:11.836893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.836893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.836893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.836893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.836893,0,0,0,0,0,0,0,0,0
20160808 15:40:11.844705,0,0,0,0,0,0,0,0,0
20160808 15:40:11.844705,0,0,0,0,0,0,0,0,0
20160808 15:40:11.844705,0,0,0,0,0,0,0,0,0
20160808 15:40:11.844705,0,0,0,0,0,0,0,0,0
20160808 15:40:11.852517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.852517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.852517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.852517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.852517,0,0,0,0,0,0,0,0,0
20160808 15:40:11.860330,0,0,0,0,0,0,0,0,0
20160808 15:40:11.860330,0,0,0,0,0,0,0,0,0
20160808 15:40:11.860330,0,0,0,0,0,0,0,0,0
20160808 15:40:11.860330,0,0,0,0,0,0,0,0,0
20160808 15:40:11.868143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.868143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.868143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.868143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.868143,0,0,0,0,0,0,0,0,0
20160808 15:40:11.875955,0,0,0,0,0,0,0,0,0
20160808 15:40:11.875955,0,0,0,0,0,0,0,0,0
20160808 15:40:11.875955,0,0,0,0,0,0,0,0,0
20160808 15:40:11.875955,0,0,0,0,0,0,0,0,0
20160808 15:40:11.883767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.883767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.883767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.883767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.883767,0,0,0,0,0,0,0,0,0
20160808 15:40:11.891580,0,0,0,0,0,0,0,0,0
20160808 15:40:11.891580,0,0,0,0,0,0,0,0,0
20160808 15:40:11.891580,0,0,0,0,0,0,0,0,0
20160808 15:40:11.891580,0,0,0,0,0,0,0,0,0
20160808 15:40:11.899393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.899393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.899393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.899393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.899393,0,0,0,0,0,0,0,0,0
20160808 15:40:11.907205,0,0,0,0,0,0,0,0,0
20160808 15:40:11.907205,0,0,0,0,0,0,0,0,0
20160808 15:40:11.907205,0,0,0,0,0,0,0,0,0
20160808 15:40:11.907205,0,0,0,0,0,0,0,0,0
20160808 15:40:11.915017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.915017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.915017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.915017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.915017,0,0,0,0,0,0,0,0,0
20160808 15:40:11.922830,0,0,0,0,0,0,0,0,0
