time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160822 01:40:31.442888,0,160,6,0,0,3,166,239104,0
20160822 01:40:31.442888,0,0,0,0,7,141,1,3,42752
20160822 01:40:31.442888,0,0,3,160,7,0,3,2801795072,7
20160822 16:27:59.442888,0,0,14,0,0,4,14,265728,0
20160822 16:27:59.442888,0,0,0,0,7,245,1,4,3840
20160822 16:27:59.442888,0,0,4,0,15,0,4,251658240,7
20160822 16:27:59.442888,0,240,6,0,1,0,0,266240,1040
20160816 18:48:45.442888,0,240,7,0,1,0,0,266496,1041
20160816 18:48:45.442888,0,0,0,0,4,17,0,7,63489
20160816 18:48:45.442888,0,0,0,0,0,0,4,301990930,4
20160816 18:48:45.442888,0,16,2,0,0,0,0,522497,0
20160816 18:48:45.442888,0,0,0,0,4,19,0,68354052,4864
20160816 18:48:45.442888,0,0,0,0,0,0,7,4194369536,4
20160816 18:48:45.442888,0,16,4,0,0,4,20,267264,0
20160822 17:27:43.442888,0,16,5,0,0,4,21,267520,0
20160822 17:27:43.442888,0,0,0,0,7,252,1,4,5632
20160822 17:27:43.442888,0,0,4,16,6,0,4,369098752,7
20160822 17:27:43.442888,0,240,13,0,1,0,0,268032,1047
20160816 19:48:29.442888,0,240,14,0,1,0,0,268288,1048
20160816 19:48:29.442888,0,0,0,0,4,24,0,7,65281
20160816 19:48:29.442888,0,0,0,0,0,0,4,419431449,4
20160816 19:48:29.442888,0,16,9,0,0,0,0,524289,0
20160816 19:48:29.442888,0,0,0,0,4,26,0,68812804,6656
20160816 19:48:29.442888,0,0,0,0,0,0,8,16842752,4
20160816 19:48:29.442888,0,16,11,0,0,4,27,269056,0
20160822 18:27:27.442888,0,16,12,0,0,4,28,269312,0
20160822 18:27:27.442888,0,0,0,0,8,3,1,4,7424
20160822 18:27:27.442888,0,0,4,16,13,0,4,486539264,8
20160822 18:27:27.442888,0,0,4,0,1,0,0,269824,1054
20160816 20:48:13.442888,0,0,5,0,1,0,0,270080,1055
20160816 20:48:13.442888,0,0,0,0,4,31,0,8,1537
20160816 20:48:13.442888,0,0,0,0,0,0,4,536871968,4
20160816 20:48:13.442888,0,32,0,0,0,0,0,526081,0
20160816 20:48:13.442888,0,0,0,0,4,33,0,69271556,8448
20160816 20:48:13.442888,0,0,0,0,0,0,8,134283264,4
20160816 20:48:13.442888,0,32,2,0,0,4,34,270848,0
20160816 20:48:13.442888,0,0,0,0,8,9,1,4,8960
20160822 19:35:43.442888,0,32,4,0,0,4,36,271360,0
20160822 19:35:43.442888,0,0,0,0,8,11,1,4,9472
20160822 19:35:43.442888,0,0,4,32,5,0,4,620756992,8
20160822 19:35:43.442888,0,0,12,0,1,0,0,271872,1062
20160816 21:56:29.442888,0,0,13,0,1,0,0,272128,1063
20160816 21:56:29.442888,0,0,0,0,4,39,0,8,3585
20160816 21:56:29.442888,0,0,0,0,0,0,4,671089704,4
20160816 21:56:29.442888,0,32,8,0,0,0,0,528129,0
20160816 21:56:29.442888,0,0,0,0,4,41,0,69795844,10496
20160816 21:56:29.442888,0,0,0,0,0,0,8,268500992,4
20160816 21:56:29.442888,0,32,10,0,0,4,42,272896,0
20160816 21:56:29.442888,0,0,0,0,8,17,1,4,11008
20160822 20:43:59.442888,0,32,12,0,0,4,44,273408,0
20160822 20:43:59.442888,0,0,0,0,8,19,1,4,11520
20160822 20:43:59.442888,0,0,4,32,13,0,4,754974720,8
20160822 20:43:59.442888,0,16,4,0,1,0,0,273920,1070
20160816 23:04:45.442888,0,16,5,0,1,0,0,274176,1071
20160816 23:04:45.442888,0,0,0,0,4,47,0,8,5633
20160816 23:04:45.442888,0,0,0,0,0,0,4,805307440,4
20160816 23:04:45.442888,0,48,0,0,0,0,0,530177,0
20160816 23:04:45.442888,0,0,0,0,4,49,0,70320132,12544
20160816 23:04:45.442888,0,0,0,0,0,0,8,402718720,4
20160816 23:04:45.442888,0,48,2,0,0,4,50,274944,0
20160816 23:04:45.442888,0,0,0,0,8,25,1,4,13056
20160822 21:52:15.442888,0,48,4,0,0,4,52,275456,0
20160822 21:52:15.442888,0,0,0,0,8,27,1,4,13568
20160822 21:52:15.442888,0,0,4,48,5,0,4,889192448,8
20160822 21:52:15.442888,0,16,12,0,1,0,0,275968,1078
20160817 00:13:01.442888,0,16,13,0,1,0,0,276224,1079
20160817 00:13:01.442888,0,0,0,0,4,55,0,8,7681
20160817 00:13:01.442888,0,0,0,0,0,0,4,939525176,4
20160817 00:13:01.442888,0,48,8,0,0,0,0,532225,0
20160817 00:13:01.442888,0,0,0,0,4,57,0,70844420,14592
20160817 00:13:01.442888,0,0,0,0,0,0,8,536936448,4
20160817 00:13:01.442888,0,48,10,0,0,4,58,276992,0
20160817 00:13:01.442888,0,0,0,0,8,33,1,4,15104
20160822 23:00:31.442888,0,48,12,0,0,4,60,277504,0
20160822 23:00:31.442888,0,0,0,0,8,35,1,4,15616
20160822 23:00:31.442888,0,0,4,48,13,0,4,1023410176,8
20160822 23:00:31.442888,0,32,4,0,1,0,0,278016,1086
20160817 01:21:17.442888,0,32,5,0,1,0,0,278272,1087
20160817 01:21:17.442888,0,0,0,0,4,63,0,8,9729
20160817 01:21:17.442888,0,0,0,0,0,0,4,1073742912,4
20160817 01:21:17.442888,0,64,0,0,0,0,0,534273,0
20160817 01:21:17.442888,0,0,0,0,4,65,0,71368708,16640
20160817 01:21:17.442888,0,0,0,0,0,0,8,671154176,4
20160817 01:21:17.442888,0,64,2,0,0,4,66,279040,0
20160817 01:21:17.442888,0,0,0,0,8,41,1,4,17152
20160823 00:08:47.442888,0,64,4,0,0,4,68,279552,0
20160823 00:08:47.442888,0,0,0,0,8,43,1,4,17664
20160823 00:08:47.442888,0,0,4,64,5,0,4,1157627904,8
20160823 00:08:47.442888,0,32,12,0,1,0,0,280064,1094
20160817 02:29:33.442888,0,32,13,0,1,0,0,280320,1095
20160817 02:29:33.442888,0,0,0,0,4,71,0,8,11777
20160817 02:29:33.442888,0,0,0,0,0,0,4,1207960648,4
20160817 02:29:33.442888,0,64,8,0,0,0,0,536321,0
20160817 02:29:33.442888,0,0,0,0,4,73,0,71892996,18688
20160817 02:29:33.442888,0,0,0,0,0,0,8,805371904,4
20160817 02:29:33.442888,0,64,10,0,0,4,74,281088,0
20160817 02:29:33.442888,0,0,0,0,8,49,1,4,19200
20160823 01:17:03.442888,0,64,12,0,0,4,76,281600,0
20160823 01:17:03.442888,0,0,0,0,8,51,1,4,19712
20160823 01:17:03.442888,0,0,4,64,13,0,4,1291845632,8
20160823 01:17:03.442888,0,48,4,0,1,0,0,282112,1102
20160817 03:37:49.442888,0,48,5,0,1,0,0,282368,1103
20160817 03:37:49.442888,0,0,0,0,4,79,0,8,13825
20160817 03:37:49.442888,0,0,0,0,0,0,4,1342178384,4
20160817 03:37:49.442888,0,80,0,0,0,0,0,538369,0
20160817 03:37:49.442888,0,0,0,0,4,81,0,72417284,20736
20160817 03:37:49.442888,0,0,0,0,0,0,8,939589632,4
20160817 03:37:49.442888,0,80,2,0,0,4,82,283136,0
20160817 03:37:49.442888,0,0,0,0,8,57,1,4,21248
20160823 02:25:19.442888,0,80,4,0,0,4,84,283648,0
20160823 02:25:19.442888,0,0,0,0,8,59,1,4,21760
20160823 02:25:19.442888,0,0,4,80,5,0,4,1426063360,8
20160823 02:25:19.442888,0,48,12,0,1,0,0,284160,1110
20160817 04:46:05.442888,0,48,13,0,1,0,0,284416,1111
20160817 04:46:05.442888,0,0,0,0,4,87,0,8,15873
20160817 04:46:05.442888,0,0,0,0,0,0,4,1476396120,4
20160817 04:46:05.442888,0,80,8,0,0,0,0,540417,0
20160817 04:46:05.442888,0,0,0,0,4,89,0,72941572,22784
20160817 04:46:05.442888,0,0,0,0,0,0,8,1073807360,4
20160817 04:46:05.442888,0,80,10,0,0,4,90,285184,0
20160817 04:46:05.442888,0,0,0,0,8,65,1,4,23296
20160823 03:33:35.442888,0,80,12,0,0,4,92,285696,0
20160823 03:33:35.442888,0,0,0,0,8,67,1,4,23808
20160823 03:33:35.442888,0,0,4,80,13,0,4,1560281088,8
20160823 03:33:35.442888,0,64,4,0,1,0,0,286208,1118
20160817 05:54:21.442888,0,64,5,0,1,0,0,286464,1119
20160817 05:54:21.442888,0,0,0,0,4,95,0,8,17921
20160817 05:54:21.442888,0,0,0,0,0,0,4,1610613856,4
20160817 05:54:21.442888,0,96,0,0,0,0,0,542465,0
20160817 05:54:21.442888,0,0,0,0,4,97,0,73465860,24832
20160817 05:54:21.442888,0,0,0,0,0,0,8,1208025088,4
20160817 05:54:21.442888,0,96,2,0,0,4,98,287232,0
20160817 05:54:21.442888,0,0,0,0,8,73,1,4,25344
20160823 04:41:51.442888,0,96,4,0,0,4,100,287744,0
20160823 04:41:51.442888,0,0,0,0,8,75,1,4,25856
