time,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160805 16:00:00.669932,0,0,0,0,0,0,0,0,0
20160805 16:00:00.677745,0,224,4,224,4,228,228,168420,657
20160805 16:00:00.685558,0,224,5,224,5,229,229,168421,657
20160805 16:00:00.693370,0,224,6,224,6,230,230,168422,657
20160805 16:00:00.701182,0,224,7,224,7,231,231,168423,657
20160805 16:00:00.708995,0,224,8,224,8,232,232,168424,657
20160805 16:00:00.716808,0,224,9,224,9,233,233,168425,657
20160805 16:00:00.724620,0,224,10,224,10,234,234,168426,657
20160805 16:00:00.732432,0,224,11,224,11,235,235,168427,657
20160805 16:00:00.740245,0,224,12,224,12,236,236,168428,657
20160805 16:00:00.748058,0,224,13,224,13,237,237,168429,657
20160805 16:00:00.755870,0,224,14,224,14,238,238,168430,657
20160805 16:00:00.763682,0,224,15,224,15,239,239,168431,657
20160805 16:00:00.771495,0,240,0,240,0,240,240,168432,657
20160805 16:00:00.779308,0,240,1,240,1,241,241,168433,657
20160805 16:00:00.787120,0,240,2,240,2,242,242,168434,657
20160805 16:00:00.794932,0,240,3,240,3,243,243,168435,657
20160805 16:00:00.802745,0,240,4,240,4,244,244,168436,657
20160805 16:00:00.810558,0,240,5,240,5,245,245,168437,657
20160805 16:00:00.818370,0,240,6,240,6,246,246,168438,657
20160805 16:00:00.826182,0,240,7,240,7,247,247,168439,657
20160805 16:00:00.833995,0,240,8,240,8,248,248,168440,657
20160805 16:00:00.841808,0,240,9,240,9,249,249,168441,657
20160805 16:00:00.849620,0,240,10,240,10,250,250,168442,657
20160805 16:00:00.857432,0,240,11,240,11,251,251,168443,657
20160805 16:00:00.865245,0,240,12,240,12,252,252,168444,657
20160805 16:00:00.873058,0,240,13,240,13,253,253,168445,657
20160805 16:00:00.880870,0,240,14,240,14,254,254,168446,657
20160805 16:00:00.888682,0,240,15,240,15,255,255,168447,657
20160805 16:00:00.896495,0,0,0,0,0,0,0,168448,658
20160805 16:00:00.904308,0,0,1,0,1,1,1,168449,658
20160805 16:00:00.912120,0,0,2,0,2,2,2,168450,658
20160805 16:00:00.919932,0,0,3,0,3,3,3,168451,658
20160805 16:00:00.927745,0,0,4,0,4,4,4,168452,658
20160805 16:00:00.935558,0,0,5,0,5,5,5,168453,658
20160805 16:00:00.943370,0,0,6,0,6,6,6,168454,658
20160805 16:00:00.951182,0,0,7,0,7,7,7,168455,658
20160805 16:00:00.958995,0,0,8,0,8,8,8,168456,658
20160805 16:00:00.966808,0,0,9,0,9,9,9,168457,658
20160805 16:00:00.974620,0,0,10,0,10,10,10,168458,658
20160805 16:00:00.982432,0,0,11,0,11,11,11,168459,658
20160805 16:00:00.990245,0,0,12,0,12,12,12,168460,658
20160805 16:00:00.998058,0,0,13,0,13,13,13,168461,658
20160805 16:00:01.005870,0,0,14,0,14,14,14,168462,658
20160805 16:00:01.013682,0,0,15,0,15,15,15,168463,658
20160805 16:00:01.021495,0,16,0,16,0,16,16,168464,658
20160805 16:00:01.029308,0,16,1,16,1,17,17,168465,658
20160805 16:00:01.037120,0,16,2,16,2,18,18,168466,658
20160805 16:00:01.044932,0,16,3,16,3,19,19,168467,658
20160805 16:00:01.052745,0,16,4,16,4,20,20,168468,658
20160805 16:00:01.060558,0,16,5,16,5,21,21,168469,658
20160805 16:00:01.068370,0,16,6,16,6,22,22,168470,658
20160805 16:00:01.076182,0,16,7,16,7,23,23,168471,658
20160805 16:00:01.083995,0,16,8,16,8,24,24,168472,658
20160805 16:00:01.091808,0,16,9,16,9,25,25,168473,658
20160805 16:00:01.099620,0,16,10,16,10,26,26,168474,658
20160805 16:00:01.107432,0,16,11,16,11,27,27,168475,658
20160805 16:00:01.115245,0,16,12,16,12,28,28,168476,658
20160805 16:00:01.123058,0,16,13,16,13,29,29,168477,658
20160805 16:00:01.130870,0,16,14,16,14,30,30,168478,658
20160805 16:00:01.138682,0,16,15,16,15,31,31,168479,658
20160805 16:00:01.146495,0,32,0,32,0,32,32,168480,658
20160805 16:00:01.154308,0,32,1,32,1,33,33,168481,658
20160805 16:00:01.162120,0,32,2,32,2,34,34,168482,658
20160805 16:00:01.169932,0,32,3,32,3,35,35,168483,658
20160805 16:00:01.177745,0,32,4,32,4,36,36,168484,658
20160805 16:00:01.185558,0,32,5,32,5,37,37,168485,658
20160805 16:00:01.193370,0,32,6,32,6,38,38,168486,658
20160805 16:00:01.201182,0,32,7,32,7,39,39,168487,658
20160805 16:00:01.208995,0,32,8,32,8,40,40,168488,658
20160805 16:00:01.216808,0,32,9,32,9,41,41,168489,658
20160805 16:00:01.224620,0,32,10,32,10,42,42,168490,658
20160805 16:00:01.232432,0,32,11,32,11,43,43,168491,658
20160805 16:00:01.240245,0,32,12,32,12,44,44,168492,658
20160805 16:00:01.248058,0,32,13,32,13,45,45,168493,658
20160805 16:00:01.255870,0,32,14,32,14,46,46,168494,658
20160805 16:00:01.263682,0,32,15,32,15,47,47,168495,658
20160805 16:00:01.271495,0,48,0,48,0,48,48,168496,658
20160805 16:00:01.279308,0,48,1,48,1,49,49,168497,658
20160805 16:00:01.287120,0,48,2,48,2,50,50,168498,658
20160805 16:00:01.294932,0,48,3,48,3,51,51,168499,658
20160805 16:00:01.302745,0,48,4,48,4,52,52,168500,658
20160805 16:00:01.310558,0,48,5,48,5,53,53,168501,658
20160805 16:00:01.318370,0,48,6,48,6,54,54,168502,658
20160805 16:00:01.326182,0,48,7,48,7,55,55,168503,658
20160805 16:00:01.333995,0,48,8,48,8,56,56,168504,658
20160805 16:00:01.341808,0,48,9,48,9,57,57,168505,658
20160805 16:00:01.349620,0,48,10,48,10,58,58,168506,658
